Sample	City	Cluster	SMEG
LOR227C	Dalian	Cluster 2	1.846168239
LOR228C	Dalian	Cluster 2	0
LOR238C	Dalian	Cluster 2	0
LOR240C	Dalian	Cluster 2	0
LOR242C	Dalian	Cluster 2	0
LOR243C	Dalian	Cluster 2	0
LOR258C	Dalian	Cluster 2	1
LOR264C	Dalian	Cluster 2	0
LOR282C	Dalian	Cluster 2	1
LOR284C	Dalian	Cluster 2	1
LOR295C	Dalian	Cluster 2	1
LOR011C	Baoding	Cluster 3	0
LOR016C	Baoding	Cluster 3	0
LOR019C	Baoding	Cluster 3	1
LOR026C	Baoding	Cluster 3	1
LOR034C	Baoding	Cluster 3	1
LOR036C	Baoding	Cluster 3	0
LOR054C	Baoding	Cluster 3	1
LOR055C	Baoding	Cluster 3	0
LOR060C	Baoding	Cluster 3	0
LOR061C	Baoding	Cluster 3	1
LOR072C	Baoding	Cluster 3	0
LOR074C	Baoding	Cluster 3	0
LOR078C	Baoding	Cluster 3	0
LOR082C	Baoding	Cluster 3	0
LOR090C	Baoding	Cluster 3	0
LOR098C	Baoding	Cluster 3	0
LOR101C	Baoding	Cluster 3	0
LOR202C	Dalian	Cluster 3	1
LOR216C	Dalian	Cluster 3	0
LOR217C	Dalian	Cluster 3	1
LOR218C	Dalian	Cluster 3	0
LOR219C	Dalian	Cluster 3	0
LOR222C	Dalian	Cluster 3	0
LOR226C	Dalian	Cluster 3	1
LOR227C	Dalian	Cluster 3	0
LOR228C	Dalian	Cluster 3	1
LOR238C	Dalian	Cluster 3	0
LOR240C	Dalian	Cluster 3	0
LOR242C	Dalian	Cluster 3	0
LOR243C	Dalian	Cluster 3	0
LOR258C	Dalian	Cluster 3	1
LOR264C	Dalian	Cluster 3	0
LOR282C	Dalian	Cluster 3	0
LOR284C	Dalian	Cluster 3	0
LOR295C	Dalian	Cluster 3	0
LOR011C	Baoding	Cluster 4	0
LOR016C	Baoding	Cluster 4	0
LOR019C	Baoding	Cluster 4	1
LOR026C	Baoding	Cluster 4	1
LOR034C	Baoding	Cluster 4	1
LOR036C	Baoding	Cluster 4	0
LOR054C	Baoding	Cluster 4	0
LOR055C	Baoding	Cluster 4	0
LOR060C	Baoding	Cluster 4	0
LOR061C	Baoding	Cluster 4	1
LOR072C	Baoding	Cluster 4	1
LOR074C	Baoding	Cluster 4	0
LOR078C	Baoding	Cluster 4	0
LOR082C	Baoding	Cluster 4	1
LOR090C	Baoding	Cluster 4	1.491228419
LOR098C	Baoding	Cluster 4	0
LOR101C	Baoding	Cluster 4	1.417870065
LOR202C	Dalian	Cluster 4	0
LOR216C	Dalian	Cluster 4	0
LOR217C	Dalian	Cluster 4	1
LOR218C	Dalian	Cluster 4	0
LOR219C	Dalian	Cluster 4	0
LOR222C	Dalian	Cluster 4	0
LOR226C	Dalian	Cluster 4	0
LOR227C	Dalian	Cluster 4	0
LOR228C	Dalian	Cluster 4	1
LOR238C	Dalian	Cluster 4	0
LOR240C	Dalian	Cluster 4	0
LOR242C	Dalian	Cluster 4	0
LOR243C	Dalian	Cluster 4	0
LOR258C	Dalian	Cluster 4	1
LOR264C	Dalian	Cluster 4	1
LOR282C	Dalian	Cluster 4	1
LOR284C	Dalian	Cluster 4	0
LOR295C	Dalian	Cluster 4	1
