ID	LOR002C	LOR003C	LOR005C	LOR006C	LOR007C	LOR008C	LOR009C	LOR011C	LOR012C	LOR013C	LOR014C	LOR015C	LOR016C	LOR017C	LOR018C	LOR019C	LOR020C	LOR021C	LOR022C	LOR023C	LOR024C	LOR025C	LOR026C	LOR027C	LOR028C	LOR029C	LOR030C	LOR033C	LOR034C	LOR036C	LOR037C	LOR042C	LOR046C	LOR051C	LOR054C	LOR055C	LOR058C	LOR060C	LOR061C	LOR062C	LOR063C	LOR065C	LOR070C	LOR072C	LOR074C	LOR076C	LOR078C	LOR081C	LOR082C	LOR083C	LOR084C	LOR085C	LOR086C	LOR090C	LOR091C	LOR098C	LOR099C	LOR101C	LOR102C	LOR103C	LOR202C	LOR203C	LOR204C	LOR206C	LOR207C	LOR208C	LOR210C	LOR211C	LOR212C	LOR214C	LOR215C	LOR216C	LOR217C	LOR218C	LOR219C	LOR220C	LOR221C	LOR222C	LOR223C	LOR224C	LOR225C	LOR226C	LOR227C	LOR228C	LOR229C	LOR230C	LOR231C	LOR233C	LOR234C	LOR235C	LOR237C	LOR238C	LOR239C	LOR240C	LOR241C	LOR242C	LOR243C	LOR246C	LOR248C	LOR249C	LOR254C	LOR258C	LOR259C	LOR260C	LOR262C	LOR264C	LOR269C	LOR270C	LOR272C	LOR274C	LOR275C	LOR279C	LOR281C	LOR282C	LOR283C	LOR284C	LOR287C	LOR288C	LOR289C	LOR294C	LOR295C	LOR300C	LOR301C	LOR303C
Acidovorax sp. KKS102	0	26	0	19	0	112	0	0	0	0	0	24	0	16	0	0	0	0	1382	52	0	0	0	24	26	44	0	0	0	0	33	0	0	103	0	0	62	22	31	0	0	20	0	41	46	37	0	0	22	59	16	0	15	0	38	0	0	0	0	0	23	0	0	0	0	0	0	43	55	0	0	16	0	0	0	0	44	0	182	0	0	0	0	0	0	29	12	0	0	0	23	0	0	0	0	24	31	0	98	0	0	0	0	69	0	0	0	0	0	0	0	50	73	0	30	526	0	0	0	15	34	29	0	23
Acidovorax sp. RAC01	0	0	0	0	0	0	0	0	32	37	0	0	0	14	0	0	0	0	642	0	0	0	0	0	21	18	0	34	0	0	16	0	0	58	0	0	60	0	14	0	0	0	0	0	0	0	0	0	0	27	16	0	13	0	24	0	0	0	0	0	0	0	0	0	0	25	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	49	0	0	236	0	0	0	14	33	0	0	0
Acidovorax sp. T1	35	0	0	0	0	24	0	36	0	0	0	0	0	0	0	0	0	0	678	0	0	0	0	0	27	0	0	0	0	0	17	0	0	42	0	0	57	0	32	0	0	0	0	0	0	21	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	38	0	0	247	0	0	0	20	42	0	0	28
Acinetobacter baumannii	0	0	132	173	0	0	0	0	0	26	0	0	0	0	0	0	0	0	55	0	0	0	86	0	0	12	0	0	0	0	0	0	0	0	49	18	0	0	127	34	0	28	0	0	0	41	0	0	17	226	79	34	0	28	0	0	0	0	0	0	86	0	0	28	0	0	0	0	0	0	0	0	0	0	28	0	0	18	14	0	0	0	0	0	32	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
Acinetobacter bereziniae	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter calcoaceticus	0	0	0	26	0	0	0	0	0	41	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter defluvii	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter equi	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter haemolyticus	0	10	21	23	0	0	0	0	0	21	0	0	0	0	0	0	0	0	32	0	0	0	61	0	0	0	0	0	0	0	0	0	0	21	31	0	0	0	0	0	0	10	0	0	0	22	0	0	0	35	13	0	0	0	0	0	0	0	0	10	20	0	0	0	11	0	0	0	0	0	0	0	0	0	68	23	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	10	0	0
Acinetobacter indicus	0	0	31	16	0	21	0	17	0	0	0	0	12	0	0	29	0	0	20	0	0	0	18	23	0	0	0	0	0	12	0	10	0	0	0	0	14	0	40	15	0	0	0	0	12	35	0	0	0	56	0	0	0	0	0	0	0	19	0	0	11	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
